brand,mean_sale_price,cluster
camille la vie,56.666666666666664,4
candalite,14.0,1
candie's,14.0,1
caranola,18.0,1
carly jean los angeles,23.0,3
carmen marc valvo,31.666666666666668,3
carolina herrera,162.0,2
carols boutique,24.0,3
casche,45.0,4
caslon,17.333333333333332,1
casual corner,20.0,1
catch me,18.0,1
cath kidston,30.0,3
catherine malandrino,55.0,4
catherines,5.5,5
cato,8.0,5
caution to the wind,15.0,1
cbazaar,37.5,3
cece,18.666666666666668,1
ces femme,20.0,1
chadwicks,25.0,3
chaiken,9.0,5
champagne and strawberry,30.0,3
chanel,283.3333333333333,2
chaps,22.571428571428573,1
charlotte russe,14.636363636363637,1
charme u,31.0,3
charming charlie,9.75,5
charo ruiz,80.0,4
charter club,13.0,1
chelsea & theodore,35.0,3
chelsea & violet,31.5,3
chelsea28,22.0,1
cherish,18.25,1
cherry & grace,14.0,1
chetta b,20.5,1
cheyenne,50.0,4
chi chi london,42.0,3
chiara boni,126.25,2
chic^threads,58.0,4
chicanary vintage inspired,31.0,3
chicbomb,28.0,3
chico's,20.5,1
chicwish,35.0,3
choosy,20.0,1
christina love,23.0,3
christy dawn,105.2,2
ciao couture,56.0,4
cinderella,33.0,3
cinq a sept,70.33333333333333,4
city chic,37.19047619047619,3
city streets,7.0,5
city studio,27.0,3
city triangles,24.0,3
clad & cloth,25.0,3
cleobella,75.0,4
clinique,11.0,5
clio,10.0,5
clmbrynm,13.0,1
cloth & stone,25.0,3
clover canyon,60.0,4
club l,75.0,4
club monaco,28.75,3
co nursing wear,9.5,5
coach,72.0,4
coldwater creek,15.25,1
collectif,30.666666666666668,3
columbia,19.25,1
connected apparel,21.133333333333333,1
conscious clothing,125.0,2
converse,14.5,1
coogi,30.0,3
copper key,9.0,5
cos,33.666666666666664,3
cotton on,19.0,1
courrèges,45.0,4
cozy casual,20.0,1
cq by cq,5.0,5
cralove,18.0,1
crazy train,12.0,1
crescent,20.5,1
cristinalove,9.0,5
crown & ivy,21.5,1
cry baby,15.0,1
csc studio,10.0,5
cupcakes & cashmere,50.0,4
current air,40.0,3
custom,75.0,4
cut loose,22.0,1
cy,15.0,1
cynthia ashby,55.0,4
cynthia rowley,19.1,1
cynthia steffe,30.0,3
dainty hooligan,14.0,1
dainty jewells,22.0,1
daisland,18.0,1
daisys boutique,34.0,3
dakini,35.0,3
dana buchman,11.833333333333334,1
dancing queen,20.0,1
daniel & rebecca,29.0,3
danny & nicole,22.75,3
danskin,34.0,3
dave & johnny,40.0,3
davi & dani,31.0,3
david lerner,28.0,3
david meister,33.5,3
david's bridal,59.5,4
daydream,28.0,3
daytrip,8.0,5
db sport,17.0,1
dc comics,20.0,1
deb,15.0,1
delia*s,6.0,5
democracy,40.0,3
denim & supply ralph lauren,28.666666666666668,3
depending on the horizon,7.0,5
derek heart,7.0,5
derek lam,167.5,2
des feli,52.25,4
design history,12.0,1
desigual,27.6,3
devided,15.0,1
diane freis,100.0,2
diane von furstenberg,54.810810810810814,4
diane von furstenberg vintage,40.0,3
dickies,25.0,3
dimity bourke,39.0,3
dior,500.0,2
discount universe,80.0,4
discreet,12.0,1
disney,28.0,3
divided,7.5,5
dj-jaz,64.0,4
djt,15.0,1
dkny,28.333333333333332,3
dna,40.0,3
do & be,40.0,3
doctor who,14.0,1
doe & rae,9.0,5
doen,138.8,2
dolce & gabbana,133.0,2
dolce vita,29.0,3
dollface,20.0,1
dollhouse dress shop,35.666666666666664,3
dolls kill,22.333333333333332,1
donna morgan,17.25,1
donna ricco,20.5,1
dorothy perkins,14.0,1
dotted,6.0,5
double zero,15.5,1
downeast,10.0,5
dr who,13.0,1
drama gold,13.0,1
draper james,59.666666666666664,4
drapers & damon’s,10.0,5
dream of me,20.0,1
dreamgirl,15.0,1
dress barn,18.727272727272727,1
dress the population,97.11111111111111,2
dress v,8.0,5
dressbarn,16.428571428571427,1
dressember x sseko,120.0,2
dwell and slumber,32.5,3
earthbound,18.0,1
easel,26.0,3
east 5th,12.0,1
eastern sun,20.0,1
ebizza,7.0,5
eci,26.666666666666668,3
eclair,15.0,1
ecote,29.5,3
eddie bauer,25.0,3
edgy couture,44.0,4
effie’s heart,14.0,1
egy,12.0,1
eight paris,30.0,3
eileen fisher,39.45,3
ekattire,39.0,3
elan,10.0,5
elegant moments,64.0,4
elf sack,15.0,1
elie tahari,36.666666666666664,3
eliza j,32.333333333333336,3
elizabeth and james,45.142857142857146,4
ella samani,22.333333333333332,1
elle,14.0,1
ellen tracy,11.333333333333334,5
elliatt,35.0,3
ellie kai,15.0,1
ellie wilde,70.0,4
eloges,18.0,1
eloquii,36.96296296296296,3
emerald sundae,20.0,1
emerson fry,42.0,3
emilio pucci,58.0,4
emily and fin,25.0,3
emilyandfin,37.0,3
emma baby,45.0,4
emmdee,11.0,5
emmelee for f.c.,3.0,5
endless rose,35.5,3
endless summer,70.0,4
energie,12.0,1
enfocus studio,16.181818181818183,1
english factory,15.0,1
english rose,3.0,5
entro,26.857142857142858,3
enza costa,135.0,2
epresso,12.0,1
equipment,60.0,4
escapada,20.0,1
eshakti,22.8,3
esley,14.5,1
essue,15.0,1
etro,99.0,2
eurban,12.0,1
eva franco,89.0,4
eva mendes,35.0,3
eva mendes for new york & company,20.8,1
evan picone,30.666666666666668,3
ever pretty,55.0,4
evereve,15.0,1
everlane,36.75,3
everly,18.125,1
everpretty,18.0,1
eviecarche,41.0,3
expo new york,15.0,1
express,19.5,1
expression,25.0,3
exquisite styles,5.0,5
eye candy,17.0,1
eyecandy,3.0,5
fabletics,25.0,3
faded glory,10.0,5
fairlygirly,55.333333333333336,4
faithfull the brand,60.333333333333336,4
fame and partners,110.0,2
fancathy,16.0,1
farm,22.0,1
faroot,20.0,1
fashion nova,17.043478260869566,1
fashion to figure,12.5,1
faviana,65.0,4
favlux,10.0,5
fayt,12.0,1
feelib,20.0,1
felicias,39.0,3
felicity & coco,20.0,1
fem fatale,23.0,3
fendi,113.75,2
fenn wright manson,26.0,3
few moda,71.66666666666667,4
fighting eel,29.0,3
figleaffashion,46.5,4
fila,24.0,3
fillyboo,85.0,4
first rite,60.0,4
fjallraven,60.0,4
flamingo urban,25.0,3
flax,41.75,3
fleur bleue,10.0,5
flying tomato,19.0,1
flynn skye,42.5,3
for love and lemons,102.45,2
for you dress,30.0,3
foreign exchange,29.0,3
forever 21,12.678899082568808,1
forgot,5.0,5
formula x,10.0,5
fossil,18.333333333333332,1
francesca's collections,15.428571428571429,1
frank & eileen,32.5,3
fred perry,20.0,1
free generation,15.0,1
free people,37.70254957507082,3
free press,8.0,5
freebird by steven,25.0,3
freesia,10.0,5
french connection,27.08695652173913,3
french grey,23.75,3
fresh,15.0,1
fresh produce,26.0,3
fubu,20.0,1
fury,20.0,1
fynn and rose,22.0,1
g-star,89.0,4
gabby skye,24.5,3
gal meets glam,68.57142857142857,4
game of thrones,5.0,5
ganni,90.0,4
gap,17.458333333333332,1
garnet hill,25.0,3
geeta,35.0,3
get bullish,40.0,3
gianni bini,20.11111111111111,1
giorgio armani,175.0,2
giovanni di rocco,42.0,3
glam squad 2 you,25.0,3
glamvault,25.0,3
glorystar,45.0,4
gls collective,200.0,2
go couture,8.0,5
golden state,15.0,1
goldray,50.0,4
golightly,28.0,3
good clothes,12.0,1
goodnight macaroon,15.0,1
gothicpot@medicinebound boutique,20.0,1
grace & lace,25.0,3
grace karin,17.0,1
grana,40.0,3
great jones,15.0,1
grecerelle,12.0,1
gretchen scott designs,37.75,3
gucci,219.0,2
gudrun sjoden,39.0,3
guess,23.307692307692307,3
guess by marciano,48.0,4
gunne sax,65.0,4
gypsy 05,36.666666666666664,3
gypsy tale,49.0,4
h by halston,35.0,3
h&h,8.0,5
h&m,14.521739130434783,1
h&m x balmain,70.0,4
h.ours,60.0,4
h.w.l,15.0,1
hailey & co,13.0,1
hailjax,42.5,3
hale bob,32.0,3
halogen,17.5,1
halston heritage,66.25,4
hand made,18.0,1
haoduoyi,8.0,5
harry potter,25.0,3
hatch,59.375,4
hatley,25.0,3
